OBJECTID,Neighbourhood,Assault Rate,Auto Theft Rate,Break And Enter Rate,Robbery Rate,Trees Per Square Km
88,Regent Park,924.6669,81.58825,299.1569,199.4379,1192.012
89,Bendale,654.3763,149.4768,322.2056,219.2327,1965.545
90,Birchcliffe-Cliffside,611.1771,52.76349,320.9779,70.35132,2345.034
91,Weston-Pellam Park,775.4551,185.4349,219.1504,92.71747,1179.329
92,Downsview-Roding-CFB,916.3612,272.1315,241.5861,191.6028,1171.023
93,Lambton Baby Point,341.5467,97.58478,207.3676,12.1981,2694.335
94,Bay Street Corridor,2141.187,82.03782,393.7815,348.6607,639.227
95,Black Creek,997.0753,186.1207,115.2176,221.5723,1688.278
96,Willowdale East,280.9213,65.74753,175.3268,47.81638,2423.464
97,Willowdale West,437.1258,53.89222,173.6527,71.85629,2460.659
98,Rouge,383.5111,123.6457,157.1767,54.48792,2428.377
99,Mount Olive-Silverstone-Jamestown,703.3135,182.4495,73.56836,220.7051,2045.043
100,Cabbagetown-South St.James Town,741.8277,57.06367,578.7886,97.82343,2586.742
101,Mount Pleasant East,170.8596,41.24197,176.7513,11.78342,2818.123
102,Mount Pleasant West,337.8822,16.40205,170.5813,52.48655,1782.738
103,Blake-Jones,874.4535,49.96877,249.8438,124.9219,1893.73
104,Rexdale-Kipling,452.1547,110.7318,156.87,119.9594,2295.572
105,East End-Danforth,819.147,91.5248,366.0992,155.5922,2070.076
106,New Toronto,722.705,77.43268,206.4871,163.469,1465.978
107,Palmerston-Little Italy,638.8002,90.26524,381.8914,201.3609,1815.46
108,Parkwoods-Donalda,432.695,92.12216,195.4106,39.08213,2351.011
109,Pelmo Park-Humberlea,597.5706,284.0909,293.8871,127.3511,1733.754
110,Playter Estates-Danforth,836.7678,87.42351,449.6066,212.3142,2161.036
111,Willowridge-Martingrove-Richview,374.0149,200.3651,191.46,111.3139,2061.775
112,Woburn,636.054,83.3575,217.4543,154.0302,1976.171
113,Woodbine-Lumsden,604.7889,24.68526,444.3347,61.71316,1898.079
114,Bayview Village,402.0149,121.0888,227.647,14.53066,2708.777
115,Bedford Park-Nortown,247.3898,163.5289,352.216,50.31657,2459.239
116,Rockcliffe-Smythe,583.7508,196.0357,161.1849,169.8976,1796.176
117,Bridle Path-Sunnybrook-York Mills,183.2884,43.12669,388.1402,10.78167,3042.19
118,Don Valley Village,406.5772,172.7054,287.8423,172.7054,2164.215
119,Weston,953.5033,294.6218,176.7731,187.4866,1876.12
120,Lawrence Park South,89.88187,96.302,436.5691,19.2604,2886.525
121,Brookhaven-Amesbury,441.4409,207.0957,125.3474,163.4966,1658.307
122,Long Branch,615.1743,87.88204,234.3521,136.7054,2104.286
123,Malvern,478.6676,52.45672,137.6989,87.42787,1980.268
124,Dufferin Grove,684.2539,82.44023,230.8326,247.3207,1519.798
125,Maple Leaf,220.0746,66.97923,133.9585,86.11616,2130.194
126,Markland Wood,213.5562,74.28041,482.8227,83.56546,2223.35
127,Steeles,172.3328,74.41642,242.8325,31.33323,1861.714
128,Lawrence Park North,173.449,153.4356,233.489,0,2514.186
129,Yonge-Eglinton,493.9533,76.64793,306.5917,127.7466,2201.696
130,Morningside,686.1823,110.6746,166.0118,88.53965,2773.598
131,Moss Park,1793.152,126.9938,777.2021,614.65,1305.516
132,Little Portugal,526.2448,80.96073,276.6158,60.72055,1204.601
133,Woodbine Corridor,705.2298,55.46751,253.5658,79.2393,2319.549
134,Newtonbrook East,453.0551,83.45753,214.6051,41.72876,2465.737
135,Milliken,260.2002,137.3279,372.2309,151.7835,1215.273
136,Pleasant View,207.0141,73.06381,109.5957,54.79786,2023.922
137,Wychwood,368.4749,34.11805,218.3555,102.3541,2042.187
138,Leaside-Bennington,236.3249,57.64021,224.7968,34.58413,2676.139
139,Briar Hill-Belgravia,535.7021,115.2777,291.5847,162.745,1294.375
140,Mimico (includes Humber Bay Shores),647.9146,102.7941,174.4385,31.14974,1413.905
